nohup: ignoring input
2021-05-25 13:03:52.260985: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'libcudart.so.11.0'; dlerror: libcudart.so.11.0: cannot open shared object file: No such file or directory; LD_LIBRARY_PATH: /project/soft/linux64/src/gsl/2.4/lib64:/project/soft/linux64/src/gsl/2.4/lib:/usr/pgsql-12/lib:
2021-05-25 13:03:52.261020: I tensorflow/stream_executor/cuda/cudart_stub.cc:29] Ignore above cudart dlerror if you do not have a GPU set up on your machine.
[2021-05-25 13:03:56,323] [INFO] Set up nlp object from config
[2021-05-25 13:03:56,332] [INFO] Pipeline: ['tok2vec', 'ner']
[2021-05-25 13:03:56,335] [INFO] Created vocabulary
[2021-05-25 13:03:59,450] [INFO] Added vectors: en_core_web_lg
[2021-05-25 13:03:59,450] [INFO] Finished initializing nlp object
[2021-05-25 13:04:00,769] [INFO] Initialized pipeline components: ['tok2vec', 'ner']
[38;5;2m✔ Created output directory: output[0m
[38;5;4mℹ Using CPU[0m
[1m
=========================== Initializing pipeline ===========================[0m
[38;5;2m✔ Initialized pipeline[0m
[1m
============================= Training pipeline =============================[0m
[38;5;4mℹ Pipeline: ['tok2vec', 'ner'][0m
[38;5;4mℹ Initial learn rate: 0.001[0m
E    #       LOSS TOK2VEC  LOSS NER  ENTS_F  ENTS_P  ENTS_R  SCORE 
---  ------  ------------  --------  ------  ------  ------  ------
  0       0          0.00     37.50    0.00    0.00    0.00    0.00
  0     200        136.35   1265.88   75.09   65.85   87.35    0.75
  2     400         11.44    366.14   60.29   65.85   55.59    0.60
  3     600         26.44    306.43   77.55   83.16   72.65    0.78
  5     800         51.80    297.62   79.05   71.98   87.65    0.79
  8    1000         68.62    255.87   81.09   79.05   83.24    0.81
 11    1200        147.64    232.38   82.82   79.46   86.47    0.83
 15    1400        126.53    166.86   77.07   82.06   72.65    0.77
 19    1600        296.65    171.68   81.11   76.84   85.88    0.81
 25    1800        260.04    121.33   81.84   77.93   86.18    0.82
 32    2000        104.60     65.19   75.29   75.29   75.29    0.75
 41    2200        258.53     99.73   81.70   78.90   84.71    0.82
 51    2400        167.90     75.41   81.49   79.55   83.53    0.81
 62    2600         70.83     32.59   83.46   83.09   83.82    0.83
 72    2800         19.32      7.15   84.15   84.78   83.53    0.84
 83    3000        146.72     38.09   80.18   82.55   77.94    0.80
 93    3200        380.38     36.19   82.75   79.09   86.76    0.83
104    3400        323.07     57.85   80.97   83.91   78.24    0.81
114    3600        243.93     42.27   82.23   84.26   80.29    0.82
125    3800          0.07      0.03   83.38   84.13   82.65    0.83
135    4000          0.00      0.00   83.80   84.68   82.94    0.84
146    4200          0.00      0.00   83.68   84.43   82.94    0.84
156    4400          0.00      0.00   83.51   84.38   82.65    0.84
[38;5;2m✔ Saved pipeline to output directory[0m
output/model-last
